Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$181.16,-1.48,-0.81%,"4,402,188,000,000"
AAPL,Apple Inc. Common Stock,$262.77,0.53,0.202%,"3,899,609,280,300"
MSFT,Microsoft Corporation Common Stock,$517.66,0.87,0.168%,"3,847,852,907,753"
GOOG,Alphabet Inc. Class C Capital Stock,$251.34,-5.68,-2.21%,"3,039,705,960,000"
GOOGL,Alphabet Inc. Class A Common Stock,$250.46,-6.09,-2.374%,"3,029,063,240,000"
AMZN,"Amazon.com, Inc. Common Stock",$222.03,5.55,2.564%,"2,367,930,432,897"
META,"Meta Platforms, Inc. Class A Common Stock",$733.27,1.10,0.15%,"1,842,077,979,373"
AVGO,Broadcom Inc. Common Stock,$342.66,-6.58,-1.884%,"1,618,165,598,439"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$294.51,-3.19,-1.072%,"1,527,489,853,302"
TSLA,"Tesla, Inc. Common Stock",$442.60,-4.83,-1.079%,"1,427,583,678,271"
BRK/B,Berkshire Hathaway Inc.,$491.29,-2.79,-0.565%,"1,083,938,713,459"
BRK/A,Berkshire Hathaway Inc.,"$736,600.010000000009","-3,999.99",-0.54%,"1,083,445,803,109"
WMT,Walmart Inc. Common Stock,$106.22,-0.83,-0.775%,"846,876,246,179"
JPM,JP Morgan Chase & Co. Common Stock,$297.09,-5.27,-1.743%,"816,924,372,485"
ORCL,Oracle Corporation Common Stock,$275.15,-2.03,-0.732%,"781,897,607,100"
LLY,Eli Lilly and Company Common Stock,$799.57,-9.39,-1.161%,"756,758,430,794"
V,Visa Inc.,$347.21,2.80,0.813%,"673,567,225,710"
NFLX,"Netflix, Inc. Common Stock","$1,241.35",2.79,0.225%,"527,482,319,607"
MA,Mastercard Incorporated Common Stock,$572.03,5.67,1.001%,"517,121,891,119"
XOM,Exxon Mobil Corporation Common Stock,$112.71,0.01,0.009%,"480,510,571,737"
