Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$174.635,-0.765,-0.436%,"4,261,094,000,000"
MSFT,Microsoft Corporation Common Stock,$505.24,0.35,0.069%,"3,755,532,981,326"
AAPL,Apple Inc. Common Stock,$224.96,-1.05,-0.465%,"3,338,494,134,400"
GOOG,Alphabet Inc. Class C Capital Stock,$200.825,0.635,0.317%,"2,428,777,550,000"
GOOGL,Alphabet Inc. Class A Common Stock,$199.935,0.615,0.309%,"2,418,013,890,000"
AMZN,"Amazon.com, Inc. Common Stock",$221.60,-2.21,-0.987%,"2,363,344,520,695"
META,"Meta Platforms, Inc. Class A Common Stock",$736.00,-11.72,-1.567%,"1,848,936,125,600"
AVGO,Broadcom Inc. Common Stock,$287.99,-3.18,-1.092%,"1,354,552,607,242"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$227.54,-1.06,-0.464%,"1,180,146,824,286"
BRK/A,Berkshire Hathaway Inc.,"$731,069.781199999969","-1,744.6288",-0.238%,"1,075,311,533,353"
BRK/B,Berkshire Hathaway Inc.,$487.35,-1.33,-0.272%,"1,075,245,846,657"
TSLA,"Tesla, Inc. Common Stock",$320.57,-3.33,-1.028%,"1,033,982,150,347"
JPM,JP Morgan Chase & Co. Common Stock,$291.825,-0.415,-0.142%,"802,446,918,444"
WMT,Walmart Inc. Common Stock,$97.7446,-4.8254,-4.704%,"780,042,781,273"
LLY,Eli Lilly and Company Common Stock,$714.59,9.15,1.297%,"676,328,535,414"
V,Visa Inc.,$343.90,-0.03,-0.009%,"667,146,018,034"
ORCL,Oracle Corporation Common Stock,$233.66,-1.40,-0.596%,"656,311,918,780"
MA,Mastercard Incorporated Common Stock,$589.685,-2.995,-0.505%,"533,082,220,101"
NFLX,"Netflix, Inc. Common Stock","$1,202.59",-11.27,-0.928%,"511,012,174,436"
XOM,Exxon Mobil Corporation Common Stock,$109.0801,0.5501,0.507%,"465,035,411,375"
COST,Costco Wholesale Corporation Common Stock,$977.17,-17.40,-1.749%,"433,352,504,127"
JNJ,Johnson & Johnson Common Stock,$179.57,0.73,0.408%,"432,465,411,245"
HD,"Home Depot, Inc. (The) Common Stock",$396.99,-4.75,-1.182%,"394,976,460,765"
ABBV,AbbVie Inc. Common Stock,$211.315,2.165,1.035%,"373,300,257,233"
PG,Procter & Gamble Company (The) Common Stock,$158.75,-0.76,-0.476%,"371,851,473,720"
PLTR,Palantir Technologies Inc. Class A Common Stock,$155.72,-0.29,-0.186%,"369,421,161,798"
BAC,Bank of America Corporation Common Stock,$48.345,-0.005,-0.01%,"358,088,867,799"
SAP,SAP  SE ADS,$268.77,-3.76,-1.38%,"330,185,082,435"
KO,Coca-Cola Company (The) Common Stock,$70.48,-0.22,-0.311%,"303,322,467,921"
TMUS,"T-Mobile US, Inc. Common Stock",$257.50,-1.51,-0.583%,"289,795,402,285"
ASML,ASML Holding N.V. New York Registry Shares,$733.03,-16.46,-2.196%,"288,288,765,272"
GE,GE Aerospace Common Stock,$270.09,3.65,1.37%,"286,414,074,035"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$304.10,4.26,1.421%,"275,415,349,363"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$118.56,-0.93,-0.778%,"273,788,173,252"
PM,Philip Morris International Inc Common Stock,$174.25,1.40,0.81%,"271,235,691,972"
CVX,Chevron Corporation Common Stock,$154.08,0.86,0.561%,"266,248,757,134"
AMD,"Advanced Micro Devices, Inc. Common Stock",$163.565,-1.635,-0.99%,"265,440,427,991"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$66.895,-0.215,-0.32%,"264,904,078,251"
TM,Toyota Motor Corporation Common Stock,$196.68,-2.51,-1.26%,"256,646,350,716"
NVS,Novartis AG Common Stock,$127.12,-0.13,-0.102%,"251,073,345,206"
AZN,AstraZeneca PLC American Depositary Shares,$80.68,0.16,0.199%,"250,218,141,109"
WFC,Wells Fargo & Company Common Stock,$77.86,-0.30,-0.384%,"249,419,932,533"
NVO,Novo Nordisk A/S Common Stock,$55.615,1.315,2.422%,"248,320,975,000"
CRM,"Salesforce, Inc. Common Stock",$244.26,-2.19,-0.889%,"233,512,560,000"
ABT,Abbott Laboratories Common Stock,$132.64,0.20,0.151%,"230,854,483,617"
MS,Morgan Stanley Common Stock,$143.99,-0.13,-0.09%,"229,856,385,506"
HSBC,"HSBC Holdings, plc. Common Stock",$65.18,-0.18,-0.275%,"226,631,513,495"
LIN,Linde plc Ordinary Shares,$481.45,-0.91,-0.189%,"225,756,494,181"
CCZ,Comcast Holdings ZONES,$60.85,UNCH,--,"224,670,765,647"
MCD,McDonald's Corporation Common Stock,$311.77,-1.31,-0.418%,"222,480,454,388"
IBM,International Business Machines Corporation Common Stock,$238.81,-3.74,-1.542%,"222,456,110,182"
MRK,"Merck & Company, Inc. Common Stock (new)",$87.10,2.44,2.882%,"217,556,917,678"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$715.00,-5.68,-0.788%,"216,445,580,780"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$72.20,0.11,0.153%,"214,669,989,527"
AXP,American Express Company Common Stock,$307.20,-1.20,-0.389%,"213,775,020,134"
T,AT&T Inc.,$29.445,0.165,0.564%,"210,543,100,459"
RTX,RTX Corporation Common Stock,$157.05,0.46,0.294%,"210,217,993,930"
DIS,Walt Disney Company (The) Common Stock,$115.98,-1.06,-0.906%,"208,524,365,951"
PEP,"PepsiCo, Inc. Common Stock",$149.23,-1.50,-0.995%,"204,307,391,153"
CAT,"Caterpillar, Inc. Common Stock",$415.525,-5.065,-1.204%,"194,664,704,480"
INTU,Intuit Inc. Common Stock,$697.00,-2.15,-0.308%,"194,426,059,000"
UBER,"Uber Technologies, Inc. Common Stock",$93.20,-0.53,-0.565%,"194,361,020,603"
HDB,HDFC Bank Limited Common Stock,$75.4235,0.4335,0.578%,"192,385,780,476"
RY,Royal Bank Of Canada Common Stock,$136.34,-0.15,-0.11%,"192,176,547,260"
VZ,Verizon Communications Inc. Common Stock,$45.075,0.015,0.033%,"190,050,840,721"
TMO,Thermo Fisher Scientific Inc Common Stock,$489.395,-5.415,-1.094%,"184,801,483,957"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$15.28,-0.09,-0.586%,"184,394,622,858"
NOW,"ServiceNow, Inc. Common Stock",$881.06,-9.19,-1.032%,"183,260,480,000"
BKNG,Booking Holdings Inc. Common Stock,"$5,639.99",0.21,0.004%,"182,791,427,301"
TXN,Texas Instruments Incorporated Common Stock,$200.495,-0.275,-0.137%,"182,277,456,699"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$136.47,-0.82,-0.597%,"177,324,776,070"
BLK,"BlackRock, Inc. Common Stock","$1,123.81",-4.65,-0.412%,"174,025,728,654"
SCHW,Charles Schwab Corporation (The) Common Stock,$95.78,0.27,0.283%,"173,861,704,554"
PDD,PDD Holdings Inc. American Depositary Shares,$122.34,4.34,3.678%,"173,679,548,161"
ISRG,"Intuitive Surgical, Inc. Common Stock",$475.16,-5.29,-1.101%,"170,333,696,591"
C,"Citigroup, Inc. Common Stock",$92.22,-0.95,-1.02%,"169,767,604,154"
BA,Boeing Company (The) Common Stock,$224.18,-1.44,-0.638%,"169,515,432,065"
